Date,Open,High,Low,Close,Volume,Adj Close
1994-06-02,23.26,23.92,23.04,23.92,11400,17.08
1994-06-01,23.26,23.26,22.82,23.26,36000,16.61
1994-05-31,22.60,23.26,22.60,23.26,49700,16.61
1994-05-27,23.26,23.26,22.82,22.82,4200,16.30
1994-05-26,22.60,23.04,22.38,23.04,57700,16.45
1994-05-25,21.72,22.82,21.72,22.60,41800,16.14
1994-05-24,22.16,22.16,21.50,21.83,23300,15.59
1994-05-23,21.72,22.16,21.50,22.16,27400,15.83
1994-05-20,21.72,21.72,21.28,21.50,22100,15.36
1994-05-19,21.50,21.50,21.29,21.50,5700,15.18
1994-05-18,21.29,21.50,21.07,21.29,3400,15.02
1994-05-17,21.50,21.50,20.85,21.50,15200,15.18
1994-05-16,21.50,21.50,21.07,21.50,10500,15.18
1994-05-13,21.07,21.50,21.07,21.29,27500,15.02
1994-05-12,21.29,21.94,21.07,21.29,26400,15.02
1994-05-11,20.85,21.94,20.85,21.72,30600,15.33
1994-05-10,22.15,22.15,21.29,21.29,49300,15.02
1994-05-09,21.72,22.15,21.50,21.50,13100,15.18
1994-05-06,23.24,23.46,22.37,22.48,19300,15.87
1994-05-05,23.68,23.68,23.16,23.68,29400,16.71
1994-05-04,23.68,23.68,23.24,23.46,12300,16.56
1994-05-03,23.89,23.89,23.02,23.68,21600,16.71
1994-05-02,23.68,23.89,23.24,23.24,25300,16.40
1994-04-29,23.68,23.68,23.02,23.68,5100,16.71
1994-04-28,23.68,23.68,23.02,23.02,13600,16.25
1994-04-26,23.02,23.68,23.02,23.35,46400,16.48
1994-04-25,23.46,23.78,23.24,23.68,68200,16.71
1994-04-22,23.68,24.11,23.68,24.11,4000,17.02
1994-04-21,23.89,24.54,23.68,23.68,26200,16.71
1994-04-20,24.98,24.98,23.89,24.54,32400,17.32
1994-04-19,25.41,25.41,24.54,24.76,35700,17.48
1994-04-18,25.85,25.85,24.98,24.98,23300,17.63
1994-04-15,25.41,26.06,25.20,25.85,32000,18.24
1994-04-14,26.06,26.06,25.41,25.63,13900,18.09
1994-04-13,25.41,26.28,25.41,25.68,7100,18.13
1994-04-12,25.85,25.85,25.20,25.85,6700,18.24
1994-04-11,25.20,26.06,25.20,25.20,6400,17.78
1994-04-08,25.85,26.06,25.20,25.85,57100,18.24
1994-04-07,25.41,25.85,25.41,25.85,8600,18.24
1994-04-06,25.20,25.41,24.54,25.41,12600,17.94
1994-04-05,23.89,24.76,23.89,24.76,6300,17.48
1994-04-04,23.89,24.54,23.89,24.11,15900,17.02
1994-03-31,24.54,24.54,23.68,24.33,46300,17.17
1994-03-30,24.33,24.33,23.68,23.68,76700,16.71
1994-03-29,25.20,25.41,23.46,24.22,42000,17.09
1994-03-28,26.17,26.50,25.52,25.52,37100,18.01
1994-03-25,26.72,26.72,26.06,26.06,1800,18.40
1994-03-24,26.06,26.93,26.06,26.72,50900,18.86
1994-03-23,26.72,26.93,26.06,26.50,59700,18.70
1994-03-22,26.06,26.72,25.96,26.06,79400,18.40
1994-03-21,27.37,27.37,26.06,26.06,25000,18.40
1994-03-18,27.15,27.80,26.93,27.58,10000,19.47
1994-03-17,27.80,27.80,27.15,27.15,4300,19.16
1994-03-16,27.80,27.80,27.15,27.37,1400,19.32
1994-03-15,27.37,27.80,27.15,27.58,130400,19.47
1994-03-14,27.80,28.45,26.93,27.15,51700,19.16
1994-03-11,27.80,28.67,27.80,28.45,38200,20.08
1994-03-10,28.67,28.67,28.02,28.24,11600,19.93
1994-03-09,28.24,28.67,27.91,28.34,21000,20.01
1994-03-08,28.24,28.24,27.58,27.58,57700,19.47
1994-03-07,28.24,28.24,27.58,28.24,2500,19.93
1994-03-04,28.24,28.24,27.58,27.91,22700,19.70
1994-03-03,28.02,28.24,27.37,27.58,43800,19.47
1994-03-02,27.37,28.24,27.37,27.37,24200,19.32
1994-03-01,28.45,28.45,27.58,28.24,7900,19.93
1994-02-28,27.80,28.45,27.80,28.45,11600,20.08
1994-02-25,27.37,27.80,26.93,27.58,94600,19.47
1994-02-24,28.24,28.45,27.58,27.80,68300,19.62
1994-02-23,27.80,28.67,27.80,28.24,22700,19.93
1994-02-22,26.72,28.45,26.28,28.13,66900,19.85
1994-02-18,27.37,27.58,24.87,26.06,115600,18.40
1994-02-17,29.11,29.11,27.04,27.04,47900,19.09
1994-02-16,28.46,28.89,28.03,28.89,77900,20.21
1994-02-15,28.24,28.24,27.38,28.24,8600,19.76
1994-02-14,28.46,29.10,27.59,27.59,71500,19.31
1994-02-11,28.46,29.10,28.46,28.46,6900,19.91
1994-02-10,28.67,29.10,28.46,28.46,3300,19.91
1994-02-09,29.32,29.32,28.89,29.00,18500,20.29
1994-02-08,29.10,29.32,28.89,28.89,9500,20.21
1994-02-07,28.89,29.32,28.46,28.89,19800,20.21
1994-02-04,30.07,30.61,29.75,29.75,4600,20.82
1994-02-03,30.61,30.61,29.97,30.61,7500,21.42
1994-02-02,30.18,30.61,30.18,30.18,9000,21.12
1994-02-01,30.40,30.61,29.97,30.18,11800,21.12
1994-01-31,29.97,30.61,29.97,30.18,29400,21.12
1994-01-28,29.97,30.61,29.97,30.18,41000,21.12
1994-01-27,31.26,31.26,29.53,29.97,119500,20.97
1994-01-26,31.26,31.91,31.26,31.91,8100,22.33
1994-01-25,31.69,31.91,31.26,31.26,11400,21.87
1994-01-24,31.26,32.12,30.83,31.80,26900,22.25
1994-01-21,30.83,31.26,30.83,31.26,600,21.87
1994-01-20,31.04,31.26,30.83,31.26,78700,21.87
1994-01-19,31.04,31.26,30.83,30.83,5400,21.57
1994-01-18,30.83,31.47,30.83,30.94,49100,21.65
1994-01-17,30.40,31.26,30.40,30.83,11500,21.57
1994-01-14,29.53,30.83,29.53,30.83,25600,21.57
1994-01-13,29.32,29.97,29.32,29.53,13200,20.67
1994-01-12,29.53,29.97,29.53,29.64,4700,20.74
1994-01-11,29.97,29.97,29.32,29.97,31800,20.97
1994-01-10,28.67,30.40,28.67,30.18,38900,21.12
1994-01-07,29.10,29.53,28.03,28.67,70100,20.06
1994-01-06,28.89,29.53,28.67,29.10,91700,20.36
1994-01-05,31.47,31.47,29.32,29.75,81600,20.82
1994-01-04,31.91,31.91,31.26,31.47,28100,22.02
1994-01-03,31.47,31.91,31.26,31.26,25700,21.87
1993-12-31,31.47,31.91,31.47,31.47,9000,22.02
1993-12-30,31.91,31.91,31.26,31.47,37600,22.02
1993-12-29,31.26,31.91,31.26,31.47,29800,22.02
1993-12-28,31.91,31.91,31.26,31.26,7100,21.87
1993-12-27,31.26,31.91,31.26,31.47,9400,22.02
1993-12-23,31.26,31.91,31.26,31.26,3600,21.87
1993-12-22,31.69,32.34,31.26,31.91,17600,22.33
1993-12-21,32.55,32.55,31.69,32.34,8800,22.63
1993-12-20,32.77,32.98,32.12,32.12,13000,22.48
1993-12-17,33.85,33.85,32.34,32.77,124200,22.93
1993-12-16,33.42,33.85,33.42,33.85,3600,23.68
1993-12-15,33.63,33.85,33.42,33.42,4400,23.38
1993-12-14,33.85,33.85,33.42,33.42,29000,23.38
1993-12-13,33.85,33.85,33.42,33.85,6600,23.68
1993-12-10,33.85,33.85,33.20,33.20,10600,23.23
1993-12-09,32.98,33.85,32.98,33.20,29300,23.23
1993-12-08,32.98,33.63,32.98,32.98,6300,23.08
1993-12-07,32.98,33.85,32.98,33.42,16900,23.38
1993-12-06,33.85,33.85,32.98,33.85,5400,23.68
1993-12-03,34.06,34.06,33.20,33.52,10000,23.46
1993-12-02,34.28,34.28,33.20,33.20,16000,23.23
